GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US17,17,Illinois,0500000US17113,17113,Illinois - McLean County,McLean County,169572,69656,1186.27,2.89,1183.38,143.3,58.9
0400000US17,17,Illinois,0500000US17115,17115,Illinois - Macon County,Macon County,110768,50475,585.86,5.18,580.69,190.8,86.9
0400000US17,17,Illinois,0500000US17117,17117,Illinois - Macoupin County,Macoupin County,47765,21584,867.65,4.74,862.91,55.4,25
0400000US17,17,Illinois,0500000US17119,17119,Illinois - Madison County,Madison County,269282,117106,740.56,24.98,715.58,376.3,163.7
0400000US17,17,Illinois,0500000US17121,17121,Illinois - Marion County,Marion County,39437,18296,576.04,3.67,572.36,68.9,32
0400000US17,17,Illinois,0500000US17123,17123,Illinois - Marshall County,Marshall County,12640,5914,398.51,11.73,386.79,32.7,15.3
0400000US17,17,Illinois,0500000US17125,17125,Illinois - Mason County,Mason County,14666,7077,563.46,24.23,539.24,27.2,13.1
0400000US17,17,Illinois,0500000US17127,17127,Illinois - Massac County,Massac County,15429,7113,241.81,4.6,237.22,65,30
0400000US17,17,Illinois,0500000US17129,17129,Illinois - Menard County,Menard County,12705,5654,315.46,1.02,314.44,40.4,18
0400000US17,17,Illinois,0500000US17131,17131,Illinois - Mercer County,Mercer County,16434,7358,568.69,7.49,561.2,29.3,13.1
0400000US17,17,Illinois,0500000US17133,17133,Illinois - Monroe County,Monroe County,32957,13392,398.04,13.02,385.01,85.6,34.8
0400000US17,17,Illinois,0500000US17135,17135,Illinois - Montgomery County,Montgomery County,30104,13080,709.68,5.99,703.69,42.8,18.6
0400000US17,17,Illinois,0500000US17137,17137,Illinois - Morgan County,Morgan County,35547,15515,572.3,3.51,568.79,62.5,27.3
0400000US17,17,Illinois,0500000US17139,17139,Illinois - Moultrie County,Moultrie County,14846,6260,344.48,8.53,335.94,44.2,18.6
0400000US17,17,Illinois,0500000US17141,17141,Illinois - Ogle County,Ogle County,53497,22561,762.99,4.41,758.57,70.5,29.7
0400000US17,17,Illinois,0500000US17143,17143,Illinois - Peoria County,Peoria County,186494,83034,630.6,11.39,619.21,301.2,134.1
0400000US17,17,Illinois,0500000US17145,17145,Illinois - Perry County,Perry County,22350,9426,446.95,5.19,441.76,50.6,21.3
0400000US17,17,Illinois,0500000US17147,17147,Illinois - Piatt County,Piatt County,16729,7269,439.46,0.26,439.2,38.1,16.6
0400000US17,17,Illinois,0500000US17149,17149,Illinois - Pike County,Pike County,16430,7951,848.88,17.5,831.38,19.8,9.6
0400000US17,17,Illinois,0500000US17151,17151,Illinois - Pope County,Pope County,4470,2491,374.3,5.53,368.77,12.1,6.8
0400000US17,17,Illinois,0500000US17153,17153,Illinois - Pulaski County,Pulaski County,6161,3155,203.23,4.04,199.18,30.9,15.8
0400000US17,17,Illinois,0500000US17155,17155,Illinois - Putnam County,Putnam County,6006,3074,172.22,12.06,160.16,37.5,19.2
0400000US17,17,Illinois,0500000US17157,17157,Illinois - Randolph County,Randolph County,33476,13707,597.2,21.7,575.5,58.2,23.8
0400000US17,17,Illinois,0500000US17159,17159,Illinois - Richland County,Richland County,16233,7513,361.9,1.91,359.99,45.1,20.9
0400000US17,17,Illinois,0500000US17161,17161,Illinois - Rock Island County,Rock Island County,147546,65756,451.29,23.65,427.64,345,153.8
0400000US17,17,Illinois,0500000US17163,17163,Illinois - St. Clair County,St. Clair County,270056,116249,674.03,16.27,657.76,410.6,176.7
0400000US17,17,Illinois,0500000US17165,17165,Illinois - Saline County,Saline County,24913,11697,386.78,6.96,379.82,65.6,30.8
0400000US17,17,Illinois,0500000US17167,17167,Illinois - Sangamon County,Sangamon County,197465,89901,877.02,8.72,868.3,227.4,103.5
0400000US17,17,Illinois,0500000US17169,17169,Illinois - Schuyler County,Schuyler County,7544,3459,441.33,4.06,437.27,17.3,7.9
0400000US17,17,Illinois,0500000US17171,17171,Illinois - Scott County,Scott County,5355,2459,252.77,1.86,250.91,21.3,9.8
0400000US17,17,Illinois,0500000US17173,17173,Illinois - Shelby County,Shelby County,22363,10396,768.07,9.55,758.52,29.5,13.7
0400000US17,17,Illinois,0500000US17175,17175,Illinois - Stark County,Stark County,5994,2674,288.35,0.27,288.08,20.8,9.3
0400000US17,17,Illinois,0500000US17177,17177,Illinois - Stephenson County,Stephenson County,47711,22081,565.06,0.54,564.52,84.5,39.1
0400000US17,17,Illinois,0500000US17179,17179,Illinois - Tazewell County,Tazewell County,135394,57516,657.94,8.96,648.97,208.6,88.6
0400000US17,17,Illinois,0500000US17181,17181,Illinois - Union County,Union County,17808,7924,422.15,8.69,413.46,43.1,19.2
0400000US17,17,Illinois,0500000US17183,17183,Illinois - Vermilion County,Vermilion County,81625,36318,901.28,2.91,898.37,90.9,40.4
0400000US17,17,Illinois,0500000US17185,17185,Illinois - Wabash County,Wabash County,11947,5585,227.51,4.25,223.25,53.5,25
0400000US17,17,Illinois,0500000US17187,17187,Illinois - Warren County,Warren County,17707,7682,543.05,0.65,542.41,32.6,14.2
0400000US17,17,Illinois,0500000US17189,17189,Illinois - Washington County,Washington County,14716,6534,563.91,1.33,562.57,26.2,11.6
0400000US17,17,Illinois,0500000US17191,17191,Illinois - Wayne County,Wayne County,16760,7975,715.49,1.67,713.81,23.5,11.2
0400000US17,17,Illinois,0500000US17193,17193,Illinois - White County,White County,14665,7181,501.86,7.09,494.77,29.6,14.5
0400000US17,17,Illinois,0500000US17195,17195,Illinois - Whiteside County,Whiteside County,58498,25770,696.53,12.28,684.25,85.5,37.7
0400000US17,17,Illinois,0500000US17197,17197,Illinois - Will County,Will County,677560,237501,849.23,12.32,836.91,809.6,283.8
0400000US17,17,Illinois,0500000US17199,17199,Illinois - Williamson County,Williamson County,66357,30359,444.35,24.2,420.15,157.9,72.3
0400000US17,17,Illinois,0500000US17201,17201,Illinois - Winnebago County,Winnebago County,295266,125965,519.25,5.89,513.36,575.2,245.4
0400000US17,17,Illinois,0500000US17203,17203,Illinois - Woodford County,Woodford County,38664,15145,542.64,14.84,527.8,73.3,28.7
